Date , Hour , Time Block,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
07-12-2023,1,00:00 - 00:15,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28
08:30 - 08:45,5499.06,5499.06,5499.06,5499.06,5499.06,5499.06,5499.06,5499.06,5499.06,5499.06,5499.06,5499.06,5499.06,5499.06
08:45 - 09:00,5199.26,5199.26,5199.26,5199.26,5199.26,5199.26,5199.26,5199.26,5199.26,5199.26,5199.26,5199.26,5199.26,5199.26
10,09:00 - 09:15,5203.47,5203.47,5203.47,5203.47,5203.47,5203.47,5203.47,5203.47,5203.47,5203.47,5203.47,5203.47,5203.47,5203.47
09:15 - 09:30,5000.67,5000.67,5000.67,5000.67,5000.67,5000.67,5000.67,5000.67,5000.67,5000.67,5000.67,5000.67,5000.67,5000.67
09:30 - 09:45,4700.06,4700.06,4700.06,4700.06,4700.06,4700.06,4700.06,4700.06,4700.06,4700.06,4700.06,4700.06,4700.06,4700.06
09:45 - 10:00,4464.50,4464.50,4464.50,4464.50,4464.50,4464.50,4464.50,4464.50,4464.50,4464.50,4464.50,4464.50,4464.50,4464.50
11,10:00 - 10:15,4000.54,4000.54,4000.54,4000.54,4000.54,4000.54,4000.54,4000.54,4000.54,4000.54,4000.54,4000.54,4000.54,4000.54
10:15 - 10:30,3727.37,3727.37,3727.37,3727.37,3727.37,3727.37,3727.37,3727.37,3727.37,3727.37,3727.37,3727.37,3727.37,3727.37
10:30 - 10:45,3620.77,3620.77,3620.77,3620.77,3620.77,3620.77,3620.77,3620.77,3620.77,3620.77,3620.77,3620.77,3620.77,3620.77
10:45 - 11:00,3549.37,3549.37,3549.37,3549.37,3549.37,3549.37,3549.37,3549.37,3549.37,3549.37,3549.37,3549.37,3549.37,3549.37
12,11:00 - 11:15,3330.70,3330.70,3330.70,3330.70,3330.70,3330.70,3330.70,3330.70,3330.70,3330.70,3330.70,3330.70,3330.70,3330.70
11:15 - 11:30,3330.23,3330.23,3330.23,3330.23,3330.23,3330.23,3330.23,3330.23,3330.23,3330.23,3330.23,3330.23,3330.23,3330.23
11:30 - 11:45,3250.37,3250.37,3250.37,3250.37,3250.37,3250.37,3250.37,3250.37,3250.37,3250.37,3250.37,3250.37,3250.37,3250.37
11:45 - 12:00,3217.42,3217.42,3217.42,3217.42,3217.42,3217.42,3217.42,3217.42,3217.42,3217.42,3217.42,3217.42,3217.42,3217.42
13,12:00 - 12:15,3087.53,3087.53,3087.53,3087.53,3087.53,3087.53,3087.53,3087.53,3087.53,3087.53,3087.53,3087.53,3087.53,3087.53
12:15 - 12:30,3087.66,3087.66,3087.66,3087.66,3087.66,3087.66,3087.66,3087.66,3087.66,3087.66,3087.66,3087.66,3087.66,3087.66
12:30 - 12:45,3087.71,3087.71,3087.71,3087.71,3087.71,3087.71,3087.71,3087.71,3087.71,3087.71,3087.71,3087.71,3087.71,3087.71
12:45 - 13:00,3087.28,3087.28,3087.28,3087.28,3087.28,3087.28,3087.28,3087.28,3087.28,3087.28,3087.28,3087.28,3087.28,3087.28
14,13:00 - 13:15,2928.89,2928.89,2928.89,2928.89,2928.89,2928.89,2928.89,2928.89,2928.89,2928.89,2928.89,2928.89,2928.89,2928.89
13:15 - 13:30,2850.18,2850.18,2850.18,2850.18,2850.18,2850.18,2850.18,2850.18,2850.18,2850.18,2850.18,2850.18,2850.18,2850.18
13:30 - 13:45,3000.81,3000.81,3000.81,3000.81,3000.81,3000.81,3000.81,3000.81,3000.81,3000.81,3000.81,3000.81,3000.81,3000.81
